id,original_filename,source_path,upload_filename,status,result_filename,notes
DW_001,_R6A6175.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6175.jpg,DW_001_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_002,_R6A6177.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6177.jpg,DW_002_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7181 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7181 seconds.""}}"
DW_003,_R6A6178.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6178.jpg,DW_003_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_004,_R6A6179.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6179.jpg,DW_004_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7185 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7185 seconds.""}}"
DW_005,_R6A6180.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6180.jpg,DW_005_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7184 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7184 seconds.""}}"
DW_006,_R6A6184.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6184.jpg,DW_006_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7182 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7182 seconds.""}}"
DW_007,_R6A6185.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6185.jpg,DW_007_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7180 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7180 seconds.""}}"
DW_008,_R6A6187.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6187.jpg,DW_008_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7181 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7181 seconds.""}}"
DW_009,_R6A6188.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6188.jpg,DW_009_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_010,_R6A6195.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6195.jpg,DW_010_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_011,_R6A6196.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\01\_R6A6196.jpg,DW_011_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_012,_R6A7098.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7098.jpg,DW_012_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_013,_R6A7099.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7099.jpg,DW_013_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_014,_R6A7103.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7103.jpg,DW_014_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_015,_R6A7104.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7104.jpg,DW_015_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_016,_R6A7105.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7105.jpg,DW_016_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_017,_R6A7106.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7106.jpg,DW_017_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_018,_R6A7107.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7107.jpg,DW_018_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_019,_R6A7111.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7111.jpg,DW_019_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_020,_R6A7112.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW295-米白色\02\_R6A7112.jpg,DW_020_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_021,_R6A6124.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6124.jpg,DW_021_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_022,_R6A6125.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6125.jpg,DW_022_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_023,_R6A6126.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6126.jpg,DW_023_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_024,_R6A6136.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6136.jpg,DW_024_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_025,_R6A6137.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6137.jpg,DW_025_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_026,_R6A6138.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6138.jpg,DW_026_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_027,_R6A6139.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6139.jpg,DW_027_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_028,_R6A6148.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6148.jpg,DW_028_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_029,_R6A6149.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\01\_R6A6149.jpg,DW_029_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_030,_R6A6982.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A6982.jpg,DW_030_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_031,_R6A6983.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A6983.jpg,DW_031_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_032,_R6A6990.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A6990.jpg,DW_032_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
